,carat,cut,color,clarity,depth,table,x,y,z,price_predicted,cut_value
2140,0.41,Premium,G,VVS1,59.9,59.0,4.79,4.83,2.88,1373.5364004761905,0
2141,2.01,Ideal,J,SI1,62.8,58.0,8.02,7.97,5.02,11903.369950733402,0
2142,0.42,Ideal,E,VVS1,62.0,56.0,4.78,4.84,2.98,1610.9405873529686,0
2143,1.01,Premium,H,VS2,62.6,61.0,6.33,6.29,3.95,5342.757383902562,0
2144,0.7,Very Good,E,VS2,61.7,60.0,5.67,5.7,3.51,3025.968381150473,0
2145,0.3,Premium,H,VS1,63.0,59.0,4.27,4.21,2.67,298.74775806565594,0
2146,0.41,Premium,H,VS1,62.8,59.0,4.73,4.64,2.94,564.6392916019104,0
2147,0.33,Ideal,H,VVS2,60.9,57.0,4.48,4.52,2.74,670.7817147127971,0
2148,0.32,Ideal,G,SI1,62.5,55.0,4.35,4.38,2.73,753.3231606062109,0
2149,0.31,Good,E,IF,64.2,60.0,4.28,4.22,2.73,597.0354388994747,1
2150,0.52,Ideal,G,IF,61.5,56.0,5.16,5.21,3.19,2196.3483710987202,0
2151,0.3,Premium,G,SI2,62.5,59.0,4.31,4.27,2.68,226.93254702343984,0
2152,1.21,Premium,D,VS1,60.2,59.0,6.89,6.86,4.14,11014.749880374991,0
2153,1.2,Ideal,I,VVS2,62.9,55.0,6.75,6.79,4.26,7001.498399978467,0
2154,0.3,Ideal,G,VVS1,61.9,54.0,4.33,4.36,2.69,731.457761327405,0
2155,0.91,Very Good,E,SI2,60.5,59.0,6.26,6.34,3.81,3587.4687877504584,0
2156,1.64,Premium,J,SI2,63.0,58.0,7.54,7.49,4.74,7839.07856072809,0
2157,0.71,Ideal,H,VVS2,61.9,56.0,5.72,5.76,3.55,2951.427279456784,0
2158,1.05,Ideal,I,SI1,60.4,57.0,6.6,6.58,3.98,4390.629671791721,0
2159,0.31,Ideal,G,VVS1,62.8,53.0,4.36,4.34,2.73,675.4254983485262,0
2160,0.51,Very Good,D,VS2,63.5,56.0,5.1,5.07,3.23,1392.6210096963987,0
2161,0.31,Ideal,E,VVS2,60.8,56.0,4.39,4.42,2.68,788.0494719384442,0
2162,0.41,Premium,F,VS2,60.3,58.0,4.85,4.8,2.91,727.0260675270256,0
2163,1.23,Very Good,H,SI1,62.3,58.0,6.79,6.83,4.24,6793.160725789454,0
2164,1.06,Good,F,SI2,62.2,61.0,6.47,6.53,4.04,4559.576605110837,1
2165,0.71,Very Good,D,SI2,61.8,63.0,5.73,5.67,3.52,1869.136455218868,0
2166,0.4,Premium,E,VS1,61.8,55.0,4.76,4.72,2.93,828.0207617269698,0
2167,1.63,Very Good,I,SI1,61.9,60.0,7.51,7.55,4.66,9971.628795947556,0
2168,0.51,Premium,E,VVS2,62.1,57.0,5.18,5.15,3.21,1620.245139897459,0
2169,1.51,Very Good,J,VS2,60.2,59.0,7.35,7.36,4.43,8040.2010101238775,0
2170,0.91,Very Good,E,SI2,60.0,60.0,6.23,6.28,3.75,3745.0376893664506,0
2171,1.58,Premium,G,VS1,62.4,60.0,7.46,7.38,4.63,13941.911592509314,0
2172,1.5,Premium,J,SI1,62.1,57.0,7.42,7.26,4.56,7018.760011702761,0
2173,1.15,Ideal,I,VS1,62.1,55.0,6.76,6.67,4.18,5966.710075246603,0
2174,0.51,Ideal,I,VS2,62.1,55.0,5.1,5.13,3.17,1059.0323172039061,0
2175,0.75,Ideal,G,VS2,60.6,55.0,5.91,5.93,3.59,3671.001224996866,0
2176,0.27,Ideal,E,VVS1,62.3,56.0,4.17,4.15,2.59,529.6707800438526,0
2177,0.49,Good,F,VS1,58.9,60.5,5.17,5.21,3.05,1146.8824363190215,1
2178,0.34,Good,G,VS2,63.1,57.0,4.43,4.47,2.81,414.63263886487766,1
2179,0.41,Ideal,D,SI1,62.3,55.0,4.79,4.77,2.98,801.9900438086443,0
2180,0.34,Premium,D,SI1,62.0,58.0,4.47,4.43,2.76,672.2121521902118,0
2181,0.92,Premium,H,SI1,62.0,60.0,6.21,6.27,3.87,3646.367757918735,0
2182,0.91,Good,H,VS2,63.1,59.0,6.13,6.16,3.88,3765.4420837181387,1
2183,0.61,Ideal,F,VVS2,61.5,55.0,5.47,5.53,3.38,2944.4693938927594,0
2184,1.57,Good,G,VS2,57.8,60.0,7.66,7.6,4.41,11660.571742359132,1
2185,0.31,Premium,F,IF,61.5,58.0,4.35,4.33,2.67,805.0833910471047,0
2186,1.58,Ideal,J,VVS1,61.5,56.0,7.48,7.5,4.61,10092.306002813404,0
2187,1.08,Premium,H,SI1,62.6,56.0,6.58,6.52,4.1,5035.55082518424,0
2188,0.54,Good,D,SI1,57.9,60.0,5.36,5.39,3.11,1566.4347350243843,1
2189,0.45,Ideal,G,IF,62.8,53.0,4.92,4.95,3.1,1482.215825064668,0
2190,0.7,Premium,F,SI2,62.9,57.0,5.64,5.61,3.53,1952.6104648225337,0
2191,0.43,Ideal,D,VS1,61.6,56.0,4.85,4.86,2.99,1215.2253631615167,0
2192,1.04,Ideal,F,VS2,62.1,57.0,6.53,6.48,4.04,6537.50926859269,0
2193,1.21,Ideal,D,VS2,60.9,60.0,6.91,6.86,4.19,9359.859640869276,0
2194,0.65,Very Good,F,SI1,60.0,63.0,5.62,5.54,3.35,1743.2519861135042,0
2195,1.31,Ideal,H,VS1,61.5,55.0,7.02,7.05,4.33,8868.779594100295,0
2196,0.3,Very Good,E,IF,60.9,59.0,4.29,4.32,2.62,1118.5030201542177,0
2197,1.02,Good,E,SI1,63.7,62.0,6.31,6.4,4.05,5046.259720008162,1
2198,0.7,Ideal,J,VS1,61.6,57.0,5.72,5.77,3.54,1795.0809927619302,0
2199,0.3,Ideal,G,VVS2,62.4,55.0,4.32,4.34,2.7,546.8058165152543,0
2200,0.32,Ideal,G,VVS2,61.4,55.0,4.4,4.43,2.71,870.3874115228718,0
2201,2.01,Good,G,SI1,63.9,60.0,7.81,7.75,4.97,16516.42005192256,1
2202,0.6,Ideal,I,SI1,60.7,58.0,5.43,5.45,3.3,1360.6949393094037,0
2203,1.03,Very Good,G,VS1,60.7,58.0,6.5,6.55,3.96,6733.117349654327,0
2204,2.18,Very Good,G,SI2,63.1,58.0,8.29,8.23,5.21,15426.442049059906,0
2205,2.3,Ideal,G,SI2,61.6,57.0,8.47,8.41,5.2,17107.792511708398,0
2206,1.02,Very Good,F,SI1,60.7,59.0,6.49,6.55,3.96,5235.957263040142,0
2207,0.31,Ideal,H,VVS2,62.5,55.0,4.34,4.37,2.72,608.4307096448429,0
2208,2.04,Very Good,H,SI2,60.0,60.0,8.21,8.17,4.91,12864.663880367918,0
2209,0.31,Premium,E,VS1,61.0,60.0,4.37,4.35,2.66,621.0885360518078,0
2210,0.51,Premium,H,SI2,60.0,62.0,5.18,5.15,3.1,193.10889019599745,0
2211,0.72,Ideal,D,VS1,60.9,56.0,5.79,5.86,3.55,3927.003063905635,0
2212,0.32,Ideal,E,VS2,61.3,57.0,4.45,4.42,2.72,560.6522858581448,0
2213,0.92,Ideal,D,VS2,61.4,56.0,6.26,6.28,3.85,5853.259045656832,0
2214,0.7,Premium,F,SI1,61.0,60.0,5.75,5.72,3.5,2110.052267738498,0
2215,0.31,Ideal,E,VS2,62.0,55.0,4.33,4.35,2.69,896.4129591483361,0
2216,1.01,Very Good,I,SI1,64.4,54.0,6.31,6.4,4.09,4028.0188016351894,0
2217,1.0,Very Good,F,VS1,62.1,60.0,6.33,6.42,3.96,7035.857531833586,0
2218,0.72,Premium,J,SI1,60.9,57.0,5.84,5.78,3.54,1617.9821570297427,0
2219,0.9,Ideal,H,VS1,61.8,56.0,6.18,6.24,3.84,4417.518074142801,0
2220,0.91,Premium,G,SI2,60.1,62.0,6.24,6.2,3.73,3254.551189113925,0
2221,0.72,Premium,H,SI2,61.8,56.0,5.79,5.73,3.56,1941.0353679405634,0
2222,0.52,Ideal,E,SI2,60.9,56.0,5.2,5.23,3.17,1211.572522949169,0
2223,0.42,Premium,F,VS2,61.9,58.0,4.8,4.76,2.96,817.3570451219857,0
2224,0.7,Ideal,G,SI1,61.6,56.0,5.69,5.73,3.52,2383.0447241853944,0
2225,1.2,Very Good,G,SI1,63.4,55.0,6.72,6.65,4.24,6883.301482288942,0
2226,1.71,Very Good,F,VS2,63.5,59.0,7.51,7.46,4.75,17052.08558721819,0
2227,0.7,Fair,F,I1,65.9,57.0,5.64,5.5,3.67,1128.4226824828766,1
2228,1.59,Ideal,H,VS1,61.8,57.0,7.42,7.49,4.61,12249.766119884567,0
2229,0.85,Ideal,G,SI1,62.2,56.0,6.04,6.09,3.77,3538.093355140354,0
2230,0.5,Good,E,SI2,63.2,61.0,5.02,5.05,3.18,901.5193792955688,1
2231,1.5,Premium,E,SI2,61.2,59.0,7.41,7.36,4.52,8898.430948616606,0
2232,0.65,Ideal,J,SI1,61.9,54.0,5.6,5.62,3.47,1438.2432868635224,0
2233,0.52,Ideal,H,SI2,61.0,55.0,5.19,5.23,3.18,757.6706812205666,0
2234,1.22,Ideal,H,SI1,61.9,55.0,6.82,6.87,4.24,6764.117437572015,0
2235,1.7,Premium,G,VS2,59.0,58.0,7.85,7.8,4.62,13949.546221205654,0
2236,1.07,Premium,I,I1,59.8,59.0,6.68,6.62,3.98,2942.239295512638,0
2237,0.31,Premium,G,SI1,61.8,60.0,4.35,4.32,2.68,387.69658709085707,0
2238,0.3,Good,G,VS1,63.1,56.0,4.24,4.26,2.68,-60.677727106460225,1
2239,0.58,Fair,F,I1,66.3,55.0,5.18,5.1,3.41,955.3444627200042,1
2240,0.31,Ideal,D,VVS2,61.9,57.0,4.35,4.31,2.68,667.2392062842118,0
2241,0.4,Ideal,D,SI1,59.6,57.0,4.82,4.77,2.86,897.3497943967195,0
2242,1.12,Ideal,D,I1,60.6,55.0,6.73,6.76,4.09,4510.765970963646,0
2243,0.51,Ideal,F,VVS2,62.2,56.0,5.12,5.08,3.17,1842.1284235109342,0
2244,0.56,Ideal,J,VS2,61.4,56.0,5.32,5.34,3.27,1031.9203818241149,0
2245,1.28,Ideal,G,VVS2,61.2,54.0,7.03,7.06,4.31,11059.839235162242,0
2246,0.8,Fair,G,I1,64.5,57.0,5.86,5.83,3.77,1460.985258360869,1
2247,1.54,Ideal,G,VS2,60.6,57.0,7.55,7.49,4.56,11974.787208302512,0
2248,2.5,Fair,G,SI2,67.0,57.0,8.36,8.29,5.58,16997.550673602105,1
2249,0.9,Very Good,F,VS2,62.3,59.0,6.1,6.16,3.82,5269.183284318646,0
2250,0.4,Very Good,J,VS2,60.9,62.0,4.73,4.76,2.89,445.33447366694236,0
2251,1.07,Premium,H,VS2,62.1,59.0,6.52,6.56,4.06,5862.2923507038,0
2252,0.55,Premium,D,SI1,62.7,59.0,5.25,5.22,3.28,1366.2564093350666,0
2253,2.01,Premium,I,SI2,58.2,61.0,8.24,8.2,4.78,12374.578441306017,0
2254,0.5,Ideal,E,VS2,62.5,57.0,5.1,5.04,3.17,1188.7351345319112,0
2255,1.04,Very Good,D,IF,61.3,56.0,6.53,6.55,4.01,15698.335775940948,0
2256,0.35,Premium,D,SI2,62.3,58.0,4.54,4.48,2.81,480.6683130330057,0
2257,0.34,Ideal,I,VVS1,61.8,56.0,4.47,4.5,2.77,738.7149433847844,0
2258,0.3,Ideal,H,SI1,62.9,57.0,4.27,4.22,2.67,429.9214300366948,0
2259,1.12,Premium,G,I1,60.3,60.0,6.75,6.69,4.05,3260.277448193036,0
2260,1.01,Premium,D,SI1,62.9,59.0,6.43,6.39,4.03,5384.844924126406,0
2261,0.36,Premium,E,VS1,61.3,58.0,4.58,4.56,2.8,771.3037818089724,0
2262,0.73,Premium,G,SI1,60.8,58.0,5.82,5.85,3.55,2448.897282293183,0
2263,1.16,Ideal,G,VS2,62.5,56.0,6.67,6.73,4.19,7893.239051311995,0
2264,1.51,Ideal,H,SI1,61.3,56.0,7.44,7.4,4.55,9474.198468143044,0
2265,0.7,Good,I,VS1,63.1,57.0,5.59,5.67,3.55,2008.7371880392493,1
2266,1.0,Very Good,D,SI2,60.5,60.0,6.41,6.44,3.89,4509.9131233517655,0
2267,0.31,Good,H,VVS2,63.4,56.0,4.29,4.32,2.73,712.06210558163,1
2268,0.3,Ideal,F,VS2,61.6,57.0,4.33,4.3,2.66,605.1921283636257,0
2269,0.57,Premium,F,SI1,62.1,59.0,5.31,5.28,3.29,1303.5384175058753,0
2270,0.9,Premium,D,SI2,59.2,60.0,6.34,6.3,3.74,3338.6880148488635,0
2271,0.54,Ideal,F,VS2,63.0,57.0,5.22,5.18,3.28,1231.8125377518227,0
2272,0.59,Ideal,E,VS2,60.2,59.0,5.47,5.49,3.3,1881.0457012560728,0
2273,0.91,Ideal,F,SI2,62.4,57.0,6.22,6.18,3.87,3565.7008495217196,0
2274,0.33,Very Good,I,VS1,63.2,57.0,4.4,4.37,2.77,481.2204852390132,0
2275,0.41,Good,F,VVS2,63.6,56.0,4.72,4.68,2.99,759.2503692543105,1
2276,1.23,Very Good,J,VS2,62.9,59.0,6.8,6.85,4.29,5445.559554582769,0
2277,0.42,Ideal,I,VVS1,62.0,55.0,4.88,4.8,3.0,632.8587495463835,0
2278,1.31,Premium,I,VS2,60.4,59.0,7.16,7.05,4.29,6849.043117052723,0
2279,0.35,Ideal,F,VS1,62.4,57.0,4.52,4.49,2.81,554.5821960396061,0
2280,1.16,Premium,G,SI1,63.0,58.0,6.7,6.66,4.21,6134.31242966947,0
2281,0.34,Very Good,H,VS1,61.3,56.0,4.48,4.53,2.76,886.758757253865,0
2282,0.44,Premium,E,SI1,62.3,59.0,4.84,4.88,3.03,927.0728737230565,0
2283,0.34,Ideal,I,SI1,61.9,57.0,4.49,4.52,2.79,525.7342495367993,0
2284,0.7,Good,I,SI1,61.6,63.0,5.59,5.68,3.47,1967.6403029701578,1
2285,0.4,Premium,H,VS1,62.6,58.0,4.68,4.71,2.94,711.7947076059318,0
2286,0.78,Very Good,F,SI2,62.4,59.0,5.86,5.91,3.67,2440.2105951255944,0
2287,0.9,Very Good,G,SI2,64.2,56.0,6.04,6.11,3.9,3259.4360319310144,0
2288,0.55,Premium,D,SI1,61.6,56.0,5.28,5.24,3.24,1588.3114903591159,0
2289,1.11,Premium,G,VS2,60.4,58.0,6.76,6.72,4.07,7166.118072482426,0
2290,1.33,Premium,I,VS1,61.5,58.0,7.06,7.02,4.33,7859.421924777118,0
2291,0.41,Premium,G,VS2,61.4,59.0,4.79,4.75,2.93,691.3158276633621,0
2292,0.34,Ideal,F,SI2,60.1,56.0,4.54,4.55,2.73,42.599216521022754,0
2293,1.42,Premium,H,SI1,62.3,58.0,7.15,7.19,4.47,8685.503200635474,0
2294,0.28,Ideal,F,VVS2,61.8,56.0,4.22,4.26,2.62,586.8219018579766,0
2295,1.04,Good,D,SI2,57.6,63.0,6.67,6.7,3.85,4367.21549310274,1
2296,0.59,Ideal,J,VS2,60.8,57.0,5.47,5.42,3.31,1003.1733513171457,0
2297,0.5,Premium,D,SI1,61.2,60.0,5.14,5.09,3.13,1083.971131969014,0
2298,0.95,Very Good,E,SI1,62.8,59.0,6.21,6.25,3.91,4907.414396400352,0
2299,0.3,Ideal,G,VS1,61.8,57.0,4.29,4.32,2.66,752.4916367762926,0
2300,0.71,Ideal,F,VS1,61.5,57.0,5.74,5.71,3.52,3267.0936726987493,0
2301,0.56,Very Good,G,VS1,60.2,56.0,5.35,5.37,3.23,1957.205031487516,0
2302,1.02,Very Good,H,SI1,62.8,59.0,6.33,6.38,3.99,4764.838787635967,0
2303,0.47,Very Good,H,VS2,57.2,60.0,5.18,5.21,2.97,977.0755591151465,0
2304,1.15,Premium,G,SI1,62.2,56.0,6.76,6.68,4.18,6041.980133745816,0
2305,0.81,Very Good,H,VS1,62.2,57.0,5.91,5.94,3.69,3632.3330256559457,0
2306,1.52,Very Good,F,SI2,63.1,60.0,7.25,7.21,4.56,9051.680446981029,0
2307,1.59,Very Good,H,VVS2,63.0,58.0,7.43,7.48,4.7,12492.619624620296,0
2308,1.14,Premium,F,SI1,59.6,58.0,6.8,6.78,4.05,6547.495043269901,0
2309,0.33,Ideal,E,VVS1,61.6,56.0,4.44,4.46,2.74,986.3284554368147,0
2310,0.24,Ideal,G,VVS2,61.2,56.0,3.99,4.02,2.45,926.4658187984678,0
2311,0.56,Very Good,H,SI2,62.0,63.0,5.26,5.21,3.27,334.3510195681247,0
2312,1.53,Premium,H,SI2,62.5,59.0,7.4,7.36,4.61,8233.687388697086,0
2313,0.4,Ideal,I,VS1,60.9,56.0,4.76,4.8,2.91,779.2352559131941,0
2314,0.33,Ideal,H,VS1,62.0,55.0,4.46,4.44,2.76,686.8563930042219,0
2315,0.7,Very Good,I,SI2,62.4,58.0,5.64,5.68,3.53,1581.586100799941,0
2316,1.24,Premium,H,SI1,60.4,59.0,6.97,6.93,4.2,6691.3235615334415,0
2317,0.54,Ideal,E,VS2,61.3,55.0,5.24,5.26,3.22,1859.3527570111546,0
2318,1.31,Very Good,H,VS2,60.4,58.0,7.04,7.09,4.27,8215.287127806278,0
2319,0.51,Good,H,SI1,63.7,56.0,5.07,5.1,3.24,876.4783716628444,1
2320,0.31,Ideal,G,IF,61.0,56.0,4.37,4.39,2.67,951.967223649528,0
2321,0.7,Ideal,D,SI1,61.2,54.0,5.79,5.75,3.53,2569.1814418751856,0
2322,0.9,Ideal,H,VVS2,62.0,57.0,6.15,6.2,3.83,4805.417743229742,0
2323,0.3,Very Good,D,SI2,61.2,60.0,4.28,4.31,2.63,591.8510416082936,0
2324,1.02,Very Good,G,VS2,63.5,56.0,6.43,6.38,4.07,6138.939683507195,0
2325,1.13,Very Good,I,VS1,61.7,54.0,6.71,6.74,4.15,5958.898615889422,0
2326,0.43,Very Good,F,SI1,62.5,56.0,4.82,4.85,3.02,824.1107734464422,0
2327,1.27,Very Good,I,VS1,60.6,59.0,7.04,6.96,4.24,6960.767434766687,0
2328,1.52,Ideal,I,VS1,62.4,57.0,7.32,7.36,4.58,10112.024510362411,0
2329,0.35,Premium,F,VS2,61.4,59.0,4.53,4.56,2.79,644.8314442193732,0
2330,0.3,Very Good,G,SI1,62.5,56.0,4.27,4.3,2.68,642.3710234695573,0
2331,0.56,Ideal,H,IF,60.4,57.0,5.35,5.39,3.24,2162.585242619498,0
2332,0.51,Ideal,F,VVS2,61.8,56.0,5.13,5.16,3.18,1903.1352739418435,0
2333,0.71,Very Good,H,SI1,61.5,56.0,5.71,5.75,3.53,2302.8613673578075,0
2334,0.3,Ideal,F,SI1,62.1,55.0,4.31,4.35,2.69,681.8519439099146,0
2335,0.41,Premium,F,VS2,61.6,59.0,4.74,4.77,2.93,910.0528656020688,0
2336,0.5,Premium,E,VS1,62.8,59.0,5.09,5.0,3.17,1068.1233574311555,0
2337,0.56,Ideal,D,VS2,60.6,56.0,5.33,5.37,3.24,2105.952049374435,0
2338,1.27,Ideal,F,SI2,62.0,55.0,6.9,6.95,4.3,7101.91477426177,0
2339,1.06,Premium,D,VS2,62.3,59.0,6.48,6.52,4.05,7682.88158576921,0
2340,1.07,Premium,D,IF,60.9,58.0,6.67,6.57,4.03,16066.656712564276,0
2341,1.02,Premium,G,SI1,63.0,55.0,6.45,6.4,4.05,4837.083666015416,0
2342,1.0,Very Good,H,SI1,63.4,56.0,6.37,6.34,4.03,4263.791822782448,0
2343,0.34,Ideal,F,VS2,62.5,55.0,4.51,4.48,2.81,500.51803157192626,0
2344,1.2,Very Good,G,SI2,61.8,60.0,6.78,6.85,4.21,5608.934081377352,0
2345,0.58,Ideal,E,VS2,61.6,55.0,5.33,5.38,3.3,2272.9582397286213,0
2346,0.3,Good,H,SI1,63.8,55.0,4.2,4.26,2.7,689.6065832300847,1
2347,2.0,Premium,D,SI2,61.6,59.0,8.09,8.2,5.02,14533.136460580525,0
2348,0.3,Premium,E,VS1,61.4,59.0,4.32,4.28,2.64,588.0428393412367,0
2349,0.3,Ideal,E,VVS2,61.1,57.0,4.34,4.36,2.65,633.937201339977,0
2350,1.01,Very Good,H,SI2,63.4,55.0,6.35,6.29,4.01,4244.314067186144,0
2351,0.43,Premium,D,SI1,61.2,58.0,4.87,4.83,2.97,927.1962417540817,0
2352,0.51,Premium,F,VS1,60.2,58.0,5.25,5.21,3.15,1148.3863897808114,0
2353,1.0,Premium,E,SI1,61.9,62.0,6.4,6.34,3.94,5096.225354172897,0
2354,0.31,Ideal,H,VVS2,61.2,56.0,4.34,4.37,2.66,782.766313704411,0
2355,0.31,Ideal,G,VVS1,61.9,55.0,4.36,4.3,2.68,783.6001012134911,0
2356,0.51,Ideal,I,SI1,62.5,57.0,5.07,5.1,3.18,887.1672570955961,0
2357,0.77,Premium,D,VS2,61.3,60.0,5.92,5.89,3.62,3676.9443024629545,0
2358,0.7,Ideal,G,SI2,61.2,56.0,5.73,5.78,3.52,1961.083282477579,0
2359,0.58,Very Good,E,SI2,59.0,62.0,5.46,5.49,3.23,1255.8095141874255,0
2360,0.74,Very Good,H,SI1,62.4,58.0,5.71,5.76,3.58,2487.1749778421436,0
2361,0.35,Very Good,E,IF,57.9,56.0,4.71,4.75,2.74,1399.256353718687,0
2362,0.52,Ideal,E,VS2,61.2,56.0,5.16,5.23,3.18,1755.4571850802022,0
2363,0.31,Ideal,F,VS2,62.8,56.0,4.32,4.28,2.7,654.8897313328271,0
2364,1.54,Premium,G,SI1,60.5,61.0,7.47,7.44,4.51,10220.965258007214,0
2365,0.76,Very Good,H,IF,62.6,57.0,5.8,5.83,3.64,3926.724229580799,0
2366,0.27,Very Good,E,VVS2,62.5,59.0,4.09,4.14,2.57,665.6190338824163,0
2367,0.91,Premium,D,SI2,61.0,61.0,6.24,6.16,3.78,3533.3269363977524,0
2368,0.53,Good,D,VS2,58.4,58.0,5.31,5.38,3.12,1908.9262597111883,1
2369,1.5,Good,D,SI2,60.2,65.0,7.37,7.34,4.43,8633.761177970206,1
2370,0.33,Ideal,E,VS1,60.6,57.0,4.5,4.54,2.74,691.1617198761742,0
2371,0.91,Good,E,I1,57.7,63.0,6.35,6.3,3.65,2569.7276282328367,1
2372,0.55,Very Good,I,VS2,61.0,57.0,5.31,5.32,3.24,1044.0249721840446,0
2373,1.08,Good,E,SI2,63.7,57.0,6.54,6.49,4.15,4365.940164419619,1
2374,0.52,Premium,G,VVS1,61.9,61.0,5.13,5.11,3.17,1859.2537380067479,0
2375,0.24,Very Good,E,VS1,60.1,57.0,4.08,4.1,2.46,873.8193120457654,0
2376,0.36,Ideal,D,VS2,62.5,55.0,4.55,4.57,2.85,923.8013028729547,0
2377,1.0,Fair,F,SI2,65.5,56.0,6.3,6.19,4.09,3974.638084171055,1
2378,0.75,Premium,H,VS2,60.8,57.0,5.9,5.87,3.58,3005.7314633368696,0
2379,0.78,Premium,H,SI2,59.7,59.0,6.03,5.97,3.58,2238.383869013187,0
2380,0.31,Ideal,E,VS1,61.3,55.0,4.36,4.38,2.68,891.8685504663226,0
2381,0.36,Ideal,H,VS2,61.0,55.0,4.59,4.62,2.81,506.29008306032483,0
2382,0.41,Ideal,D,VVS2,62.1,56.0,4.76,4.78,2.96,1338.0341357194775,0
2383,0.34,Premium,E,SI2,62.4,59.0,4.46,4.42,2.77,490.07098513042365,0
2384,0.6,Premium,E,VS1,61.0,61.0,5.46,5.39,3.31,2007.1720121583712,0
2385,1.01,Premium,E,SI1,61.7,56.0,6.44,6.39,3.96,5463.9160530664485,0
2386,1.73,Premium,G,VS2,62.9,58.0,7.65,7.58,4.79,14253.845353665654,0
2387,1.02,Very Good,H,SI1,64.4,59.0,6.24,6.36,4.06,4708.613959081529,0
2388,1.02,Ideal,G,VS2,62.3,55.0,6.45,6.48,4.03,6322.265566963195,0
2389,0.63,Very Good,E,SI1,61.0,57.6,5.48,5.51,3.36,2225.096758475167,0
2390,0.31,Very Good,G,VVS2,62.9,58.0,4.27,4.31,2.7,750.7820385474879,0
2391,0.76,Ideal,E,VS2,62.1,55.0,5.84,5.88,3.64,3807.1853341273163,0
2392,0.4,Ideal,F,IF,60.9,57.0,4.81,4.84,2.94,1113.2780293783653,0
2393,1.08,Premium,I,SI2,62.7,57.0,6.57,6.53,4.11,3968.6514390684497,0
2394,1.21,Good,G,I1,64.0,59.0,6.78,6.73,4.32,2878.296915817824,1
2395,0.9,Good,H,VS2,61.5,61.0,6.15,6.24,3.81,3863.026946705606,1
2396,1.5,Premium,F,VS2,61.5,58.0,7.34,7.36,4.52,13449.921340946861,0
2397,0.5,Very Good,D,VS2,62.8,58.0,5.0,5.03,3.15,1687.2284281713437,0
2398,0.82,Very Good,I,VS1,63.6,58.9,5.88,5.93,3.76,3054.030449918413,0
2399,0.31,Ideal,I,SI1,62.2,56.0,4.37,4.34,2.71,491.7383452516078,0
2400,0.36,Very Good,E,VS2,61.3,60.0,4.55,4.59,2.8,801.5016829488231,0
2401,0.79,Ideal,I,SI2,62.1,56.0,5.92,5.97,3.69,2203.0181071264087,0
2402,0.3,Premium,D,VS2,61.9,58.0,4.32,4.28,2.66,574.3830643143374,0
2403,0.7,Ideal,D,SI2,60.4,56.0,5.78,5.81,3.5,2179.2880608014093,0
2404,1.35,Very Good,J,VS1,62.1,56.0,7.04,7.1,4.39,7103.097650759206,0
2405,0.44,Ideal,D,VS1,61.1,56.0,4.95,4.91,3.01,1045.5163051042618,0
2406,0.33,Ideal,F,IF,62.1,56.0,4.41,4.44,2.75,1068.7729161814132,0
2407,0.74,Ideal,F,SI1,62.5,56.0,5.8,5.76,3.61,2577.2268485543973,0
2408,1.1,Ideal,F,VS2,60.7,57.0,6.66,6.7,4.05,7668.8021987093925,0
2409,0.4,Premium,F,VS2,59.3,59.0,4.83,4.79,2.85,788.0464467007332,0
2410,1.83,Fair,J,I1,70.0,58.0,7.34,7.28,5.12,4857.303753131998,1
2411,0.71,Ideal,F,VS2,61.6,56.0,5.74,5.77,3.54,2991.3970533525207,0
2412,1.0,Ideal,E,SI2,62.0,57.0,6.37,6.41,3.96,4469.189025700027,0
2413,2.0,Very Good,H,SI1,63.3,59.0,8.02,8.0,5.07,15056.903676460888,0
2414,2.03,Premium,G,SI1,61.9,59.0,8.14,8.09,5.02,16114.051625276461,0
2415,1.0,Fair,F,SI2,65.5,54.0,6.2,6.16,4.05,4169.267571299072,1
2416,0.9,Very Good,G,SI1,62.9,56.0,6.11,6.17,3.86,3992.5258633040794,0
2417,0.41,Ideal,F,VVS2,61.2,56.0,4.78,4.8,2.93,1259.2686311349753,0
2418,0.41,Ideal,F,VVS1,61.8,57.0,4.75,4.79,2.95,1339.0145215280718,0
2419,1.51,Premium,F,VS2,61.6,58.0,7.32,7.35,4.52,13777.379941051451,0
2420,1.16,Very Good,H,SI2,63.2,57.0,6.66,6.7,4.22,5309.331940055836,0
2421,0.54,Ideal,G,VS1,61.8,56.0,5.21,5.26,3.24,1793.7695641609862,0
2422,1.54,Very Good,D,SI1,63.0,59.0,7.31,7.35,4.62,11988.493483981858,0
2423,2.07,Premium,H,SI1,61.1,58.0,8.27,8.2,5.03,15910.385109997318,0
2424,0.41,Ideal,J,VVS1,62.0,57.0,4.79,4.73,2.95,581.1114785283971,0
2425,1.54,Ideal,F,VS1,60.5,56.0,7.52,7.49,4.54,15053.481580353291,0
2426,0.42,Premium,F,VS1,61.8,59.0,4.83,4.81,2.98,643.4926315171033,0
2427,1.12,Premium,G,I1,60.4,59.0,6.71,6.67,0.0,3304.5504113379243,0
2428,1.0,Ideal,G,VVS2,62.8,53.9,6.37,6.42,4.02,7243.9321746141795,0
2429,1.01,Premium,I,VVS1,62.0,59.0,6.39,6.32,3.94,5434.781215986872,0
2430,1.7,Good,I,I1,63.6,58.0,7.52,7.48,4.77,4931.768763336177,1
